data_point_id,source_paper,source_doi,feedstock_type,feedstock_category,feedstock_cellulose_pct,feedstock_hemicellulose_pct,feedstock_lignin_pct,feedstock_moisture_pct,feedstock_ash_pct,pyrolysis_temp_C,heating_rate_C_min,residence_time_h,pyrolysis_atmosphere,BET_surface_area_m2g,total_pore_volume_cm3g,micropore_volume_cm3g,mesopore_volume_cm3g,avg_pore_diameter_nm,C_pct,H_pct,N_pct,O_pct,H_C_molar_ratio,O_C_molar_ratio,pH,modification_type,Fe_loading_pct,modification_concentration_M,Qmax_Pb2_mg_g,Qmax_Cd2_mg_g,Qmax_Cr6_mg_g,Qmax_As3_mg_g,CO2_capacity_mmol_g,solution_pH,adsorbent_dosage_g_L,initial_metal_conc_mg_L,contact_time_h,temperature_C
DP-0775,Zhang_W_2023,10.1016/j.scitotenv.2023.166678,Corn stover,Agricultural,40.9,11.9,25.2,6.8,4.0,500,5,2.0,Ar,289.9,0.1738,0.0748,0.099,2.4,60.8,3.5,0.25,31.4,0.691,0.387,7.2,None,0.0,0.0,109.9,113.6,20.5,76.9,1.57,7.0,1.0,100,12,30
DP-0776,Jaffari_2023,10.1016/j.jhazmat.2023.132773,Corn stover,Agricultural,22.3,17.7,21.4,13.4,2.9,700,15,1.0,N2,481.2,0.2591,0.0967,0.1624,2.2,69.9,3.2,1.36,22.6,0.549,0.242,8.9,Base-treatment,0.0,1.51,84.5,118.9,30.7,77.3,2.54,5.0,4.0,200,24,25
DP-0777,Ma_2023,10.1016/j.seppur.2022.122521,Wheat straw,Agricultural,39.2,13.1,7.3,5.8,8.2,650,20,1.0,N2,363.7,0.2236,0.1601,0.0635,2.5,70.7,2.9,1.46,16.7,0.492,0.177,8.8,ZnO,0.0,1.87,83.8,79.0,23.8,28.0,3.79,6.5,5.0,20,2,20
DP-0778,Jaffari_2023,10.1016/j.jhazmat.2023.132773,Sugarcane bagasse,Agricultural,39.3,8.0,16.7,12.2,12.9,650,5,1.0,CO2,371.8,0.2289,0.1085,0.1204,2.5,60.9,2.6,0.97,22.6,0.512,0.278,10.6,None,0.0,0.0,104.2,103.4,24.0,39.6,2.96,5.0,1.0,50,4,50
DP-0779,Sun_2022,10.1016/j.scitotenv.2022.154668,Rice husk,Agricultural,39.7,21.4,5.0,9.3,19.7,550,10,4.0,N2,386.8,0.2755,0.0753,0.2002,2.8,50.1,3.1,3.91,23.2,0.743,0.347,8.9,None,0.0,0.0,117.6,52.9,34.4,35.8,3.78,5.0,2.0,20,4,20
DP-0780,Ma_2023,10.1016/j.seppur.2022.122521,Pine wood,Woody,40.9,23.5,21.7,4.9,3.7,450,1,3.0,N2,266.6,0.1861,0.0614,0.1247,2.8,63.4,4.8,1.63,26.5,0.909,0.313,8.0,None,0.0,0.0,98.8,74.9,38.2,46.4,1.93,8.0,1.0,100,12,20
DP-0781,Ke_2021,10.1016/J.CHEMOSPHERE.2021.130204,Palm kernel shell,Woody,58.8,24.6,22.4,5.0,3.1,750,3,2.0,N2,452.4,0.2457,0.1043,0.1414,2.2,63.2,1.2,0.75,31.7,0.228,0.376,9.7,Fe-loading,11.4,0.0,196.1,153.4,48.9,104.2,1.87,7.0,2.0,20,1,25
DP-0782,Shen_2024,10.1016/j.jhazmat.2024.133442,Sugarcane bagasse,Agricultural,39.7,18.9,25.6,10.4,3.3,650,20,1.5,N2,382.2,0.2431,0.1624,0.0807,2.5,48.5,3.0,0.75,44.4,0.742,0.687,8.9,None,0.0,0.0,141.9,138.1,53.5,104.7,2.24,5.0,4.0,100,48,40
DP-0783,Jaffari_2023,10.1016/j.jhazmat.2023.132773,Sawdust,Woody,26.0,17.6,18.7,8.2,4.2,600,10,3.0,N2,306.5,0.2033,0.1019,0.1014,2.7,65.8,3.1,1.82,25.1,0.565,0.286,10.1,None,0.0,0.0,92.0,110.6,41.0,78.4,2.79,6.0,1.0,50,12,30
DP-0784,Shen_2024,10.1016/j.jhazmat.2024.133442,Oak wood,Woody,34.1,23.6,23.5,6.7,12.7,600,1,2.0,N2,350.7,0.2818,0.1934,0.0884,3.2,55.0,4.4,1.18,26.7,0.96,0.364,8.8,None,0.0,0.0,140.8,100.2,43.4,78.7,2.77,6.0,4.0,20,4,20
DP-0785,Palansooriya_2022,10.1021/acs.est.1c08302,Corn stover,Agricultural,47.2,27.9,21.0,8.4,12.5,300,5,1.5,N2,232.3,0.1594,0.0687,0.0907,2.7,52.5,5.8,1.31,27.9,1.326,0.399,7.9,Base-treatment,0.0,0.37,120.0,105.6,18.2,92.5,2.33,4.0,2.0,100,2,35
DP-0786,Shen_2024,10.1016/j.jhazmat.2024.133442,Oak wood,Woody,40.7,20.1,15.0,4.1,15.4,400,3,1.0,N2,243.4,0.143,0.0488,0.0942,2.4,49.8,5.2,2.32,27.3,1.253,0.411,7.9,None,0.0,0.0,109.3,123.9,31.4,56.4,2.26,6.0,5.0,100,2,30
DP-0787,Ke_2021,10.1016/J.CHEMOSPHERE.2021.130204,Coffee grounds,Agricultural,28.6,27.5,31.3,10.6,6.7,800,5,2.0,N2,506.0,0.2795,0.1944,0.0851,2.2,55.7,1.9,6.4,29.3,0.409,0.395,10.3,N-doping,0.0,0.82,133.6,115.2,36.8,87.8,4.41,6.5,4.0,500,6,25
DP-0788,Shen_2024,10.1016/j.jhazmat.2024.133442,Bamboo,Woody,38.6,15.0,23.9,5.8,12.0,550,15,2.0,N2,290.4,0.1996,0.1225,0.0771,2.7,64.5,5.6,4.61,13.3,1.042,0.155,9.1,None,0.0,0.0,90.0,91.7,37.3,58.2,3.28,6.5,1.0,20,24,30
DP-0789,Sun_2022,10.1016/j.scitotenv.2022.154668,Corn stover,Agricultural,38.8,33.6,38.1,6.8,9.9,550,10,2.0,CO2,340.9,0.2679,0.1971,0.0708,3.1,67.0,2.5,3.77,16.8,0.448,0.188,9.7,Acid-treatment,0.0,1.51,118.6,101.3,30.9,57.4,3.78,5.5,0.5,50,6,25
DP-0790,Shen_2024,10.1016/j.jhazmat.2024.133442,Hickory wood,Woody,31.7,25.5,35.7,8.1,18.8,450,15,1.0,N2,320.7,0.2066,0.0903,0.1163,2.6,58.4,4.1,1.23,17.5,0.842,0.225,8.7,None,0.0,0.0,99.6,78.0,18.5,54.6,2.17,5.0,5.0,50,12,35
DP-0791,Ke_2021,10.1016/J.CHEMOSPHERE.2021.130204,Sugarcane bagasse,Agricultural,28.5,27.1,32.0,4.9,4.5,550,3,1.0,N2,349.6,0.2389,0.1588,0.0801,2.7,56.4,3.6,1.4,34.1,0.766,0.453,8.7,Base-treatment,0.0,1.2,111.1,121.7,40.3,77.0,2.8,4.0,1.0,100,4,30
DP-0792,Ma_2023,10.1016/j.seppur.2022.122521,Corn stover,Agricultural,32.8,21.2,27.2,7.4,14.2,500,20,2.0,Ar,204.1,0.1323,0.0581,0.0742,2.6,63.2,4.2,2.2,16.2,0.797,0.192,9.6,N-doping,0.0,1.66,66.5,64.2,41.0,39.9,2.04,6.0,4.0,50,12,25
DP-0793,Shen_2024,10.1016/j.jhazmat.2024.133442,Eucalyptus,Woody,33.3,25.5,33.1,9.0,1.8,550,15,0.5,N2,314.0,0.2427,0.1396,0.1031,3.1,69.7,2.9,1.7,23.9,0.499,0.257,9.3,Base-treatment,0.0,1.36,86.8,100.3,21.2,42.6,2.94,6.0,5.0,50,12,20
DP-0794,Zhu_2019,10.1016/j.jhazmat.2019.06.004,Bamboo,Woody,52.2,31.6,15.9,14.0,2.5,550,10,1.0,N2,375.5,0.2671,0.1436,0.1235,2.8,59.3,3.7,3.19,31.3,0.749,0.396,8.3,None,0.0,0.0,147.9,126.1,22.7,82.0,3.5,5.0,0.5,50,6,35
DP-0795,Palansooriya_2022,10.1021/acs.est.1c08302,Peanut shell,Agricultural,48.3,30.3,21.0,12.1,7.1,400,3,2.0,N2,256.4,0.1895,0.0328,0.1567,3.0,46.7,3.6,1.67,40.9,0.925,0.657,8.4,None,0.0,0.0,135.4,116.4,63.5,71.1,1.79,6.0,2.0,20,48,40
DP-0796,Zhang_W_2023,10.1016/j.scitotenv.2023.166678,Coconut shell,Woody,47.2,25.5,14.4,10.1,17.3,550,5,4.0,N2,451.5,0.2776,0.1795,0.0981,2.5,62.5,4.3,3.19,12.7,0.826,0.152,9.5,None,0.0,0.0,92.2,61.3,15.6,64.9,4.65,8.0,2.0,50,6,35
DP-0797,Jaffari_2023,10.1016/j.jhazmat.2023.132773,Sugarcane bagasse,Agricultural,50.0,18.7,20.7,7.2,8.9,550,10,2.0,N2,321.8,0.1635,0.0897,0.0738,2.0,55.3,4.1,1.64,30.1,0.89,0.408,8.4,None,0.0,0.0,76.1,116.9,43.2,67.1,2.37,5.5,1.0,200,4,30
DP-0798,Zhu_2019,10.1016/j.jhazmat.2019.06.004,Corn stover,Agricultural,39.9,13.7,32.8,10.7,14.8,700,10,0.5,N2,401.1,0.2541,0.0716,0.1825,2.5,65.3,2.3,0.56,17.0,0.423,0.195,7.8,None,0.0,0.0,75.0,62.3,39.0,28.2,2.81,5.5,4.0,50,12,30
DP-0799,Sun_2022,10.1016/j.scitotenv.2022.154668,Rice husk,Agricultural,42.0,12.0,13.2,8.9,5.3,600,20,2.0,N2,355.5,0.2729,0.1663,0.1066,3.1,63.9,2.6,2.64,25.6,0.488,0.3,9.2,None,0.0,0.0,124.8,110.9,40.1,60.8,3.23,6.0,5.0,100,12,20
DP-0800,Zhu_2019,10.1016/j.jhazmat.2019.06.004,Sewage sludge,Waste,36.5,28.8,11.8,7.1,13.8,400,10,2.0,N2,210.3,0.1608,0.0621,0.0987,3.1,56.0,5.7,1.66,22.8,1.221,0.305,7.2,None,0.0,0.0,82.4,94.7,39.3,25.8,1.63,6.0,1.0,50,6,30
DP-0801,Jaffari_2023,10.1016/j.jhazmat.2023.132773,Neem leaves,Agricultural,46.1,26.3,40.6,10.8,0.5,650,10,3.0,Ar,467.5,0.2742,0.1597,0.1145,2.3,57.9,2.1,0.72,38.8,0.435,0.503,9.5,Base-treatment,0.0,0.98,182.1,108.0,53.1,90.9,3.22,6.5,5.0,50,2,35
DP-0802,Long_2024,10.1016/j.chemosphere.2024.141584,Sawdust,Woody,27.7,22.7,15.8,11.3,8.8,300,5,2.0,CO2,131.1,0.0744,0.0161,0.0583,2.3,51.2,4.2,4.38,31.4,0.984,0.46,7.7,Acid-treatment,0.0,0.22,103.7,79.8,42.3,56.0,1.44,7.0,2.0,20,24,25
DP-0803,Zhang_W_2023,10.1016/j.scitotenv.2023.166678,Peanut shell,Agricultural,30.9,25.0,21.3,11.8,7.9,400,15,2.0,CO2,256.4,0.1813,0.0738,0.1075,2.8,41.5,5.5,4.29,40.8,1.59,0.737,9.4,None,0.0,0.0,139.2,137.6,52.5,80.1,2.6,6.5,2.0,50,6,25
DP-0804,Ma_2023,10.1016/j.seppur.2022.122521,Walnut shell,Woody,44.9,31.8,19.5,8.7,6.1,500,10,1.5,N2,470.7,0.2539,0.0567,0.1972,2.2,56.7,4.3,2.3,30.6,0.91,0.405,8.7,None,0.0,0.0,143.5,86.4,62.9,50.7,2.82,6.5,5.0,100,6,50
DP-0805,Zhu_2019,10.1016/j.jhazmat.2019.06.004,Eucalyptus,Woody,32.3,24.1,30.7,8.7,8.5,650,30,2.0,N2,356.9,0.2606,0.1564,0.1042,2.9,70.5,3.2,0.77,17.0,0.545,0.181,9.4,None,0.0,0.0,107.1,87.4,38.7,38.5,3.53,7.0,2.0,20,24,25
DP-0806,Shen_2024,10.1016/j.jhazmat.2024.133442,Rice husk,Agricultural,23.3,20.7,23.2,9.3,15.9,300,20,4.0,Ar,246.7,0.1525,0.0396,0.1129,2.5,44.3,4.5,0.63,34.7,1.219,0.587,8.3,None,0.0,0.0,136.3,105.6,34.9,64.2,0.71,6.0,2.0,500,6,30
DP-0807,Zhu_2019,10.1016/j.jhazmat.2019.06.004,Rice husk,Agricultural,39.7,20.4,12.7,7.0,11.5,550,15,1.0,N2,339.0,0.2109,0.0562,0.1547,2.5,53.4,4.5,1.05,29.6,1.011,0.416,9.7,None,0.0,0.0,117.8,80.4,36.2,82.7,2.92,6.0,1.0,50,24,35
DP-0808,Shen_2024,10.1016/j.jhazmat.2024.133442,Coconut shell,Woody,40.9,29.9,27.9,8.8,10.9,500,20,2.0,N2,424.1,0.2946,0.1097,0.1849,2.8,55.2,4.1,2.02,27.8,0.891,0.378,7.8,None,0.0,0.0,136.4,111.3,42.6,92.3,3.1,5.0,4.0,200,12,25
DP-0809,Yuan_2021,10.1021/acs.est.1c01849,Coconut shell,Woody,40.6,19.4,33.5,9.9,6.7,550,3,2.0,N2,402.9,0.2793,0.178,0.1013,2.8,57.1,4.4,1.72,30.1,0.925,0.395,8.9,None,0.0,0.0,161.3,119.4,59.9,82.7,3.09,5.5,0.5,20,2,25
DP-0810,Long_2024,10.1016/j.chemosphere.2024.141584,Sewage sludge,Waste,42.7,20.2,45.0,11.6,12.7,450,3,1.0,N2,258.8,0.1474,0.0271,0.1203,2.3,58.5,5.4,3.04,20.4,1.108,0.262,9.0,None,0.0,0.0,89.9,85.7,10.5,39.0,2.07,7.0,5.0,20,1,25
DP-0811,Jaffari_2023,10.1016/j.jhazmat.2023.132773,Sawdust,Woody,27.9,18.3,39.8,8.8,2.8,550,10,1.5,N2,330.3,0.205,0.086,0.119,2.5,57.9,3.6,0.92,34.8,0.746,0.451,9.3,None,0.0,0.0,139.7,93.4,57.5,76.6,1.71,6.5,4.0,200,4,25
DP-0812,Zhu_2019,10.1016/j.jhazmat.2019.06.004,Corn stover,Agricultural,21.1,12.8,19.9,8.9,3.4,750,10,2.0,N2,475.8,0.2537,0.14,0.1137,2.1,65.0,2.1,1.82,27.7,0.388,0.32,9.9,Acid-treatment,0.0,1.46,139.0,105.1,59.2,67.2,3.46,5.5,2.0,100,12,30
DP-0813,Ke_2021,10.1016/J.CHEMOSPHERE.2021.130204,Sawdust,Woody,38.1,23.2,19.2,7.7,15.3,500,10,2.0,N2,288.2,0.1472,0.0223,0.1249,2.0,49.4,3.6,2.28,29.4,0.874,0.446,9.0,Base-treatment,0.0,0.14,117.0,109.5,34.3,67.8,2.61,6.5,2.0,10,4,50
DP-0814,Ke_2021,10.1016/J.CHEMOSPHERE.2021.130204,Banana peel,Agricultural,49.5,16.3,27.1,10.3,12.9,600,10,0.5,CO2,296.4,0.1952,0.0707,0.1245,2.6,64.9,3.7,1.62,16.9,0.684,0.195,9.2,None,0.0,0.0,75.3,82.8,6.9,60.4,2.74,6.0,4.0,50,4,25
DP-0815,Yuan_2021,10.1021/acs.est.1c01849,Palm kernel shell,Woody,36.9,8.0,14.5,13.9,6.5,600,3,4.0,N2,491.9,0.2991,0.0884,0.2107,2.4,70.7,4.0,1.51,17.3,0.679,0.184,8.7,Fe-loading,14.2,0.0,156.8,163.2,38.4,90.6,1.9,5.0,2.0,50,1,35
DP-0816,Zhu_2019,10.1016/j.jhazmat.2019.06.004,Walnut shell,Woody,30.1,24.2,37.8,6.5,2.1,750,10,1.0,N2,562.5,0.3027,0.1116,0.1911,2.2,66.8,1.9,1.5,27.7,0.341,0.311,9.3,N-doping,0.0,1.67,119.9,123.3,54.6,70.5,2.78,5.5,2.0,20,2,30
DP-0817,Palansooriya_2022,10.1021/acs.est.1c08302,Corn stover,Agricultural,44.5,26.1,20.1,7.8,9.5,450,10,0.5,N2,252.7,0.153,0.0317,0.1213,2.4,49.7,5.6,2.96,32.2,1.352,0.486,8.6,Fe-loading,12.5,0.0,175.3,156.4,75.5,119.1,1.78,6.0,4.0,20,48,30
DP-0818,Palansooriya_2022,10.1021/acs.est.1c08302,Oak wood,Woody,36.4,21.8,11.9,6.4,11.9,400,15,2.0,N2,217.9,0.095,0.0179,0.0771,1.7,63.7,4.8,2.47,17.1,0.904,0.201,7.9,Fe-loading,2.6,0.0,98.2,82.7,25.8,43.1,1.83,5.0,5.0,200,4,20
DP-0819,Yuan_2021,10.1021/acs.est.1c01849,Rice husk,Agricultural,16.2,14.5,33.0,9.2,17.0,750,5,2.0,N2,456.2,0.2529,0.1805,0.0724,2.2,71.2,3.1,1.63,7.1,0.522,0.075,10.1,None,0.0,0.0,95.6,57.6,40.4,27.0,3.64,6.0,10.0,50,24,20
DP-0820,Sun_2022,10.1016/j.scitotenv.2022.154668,Miscanthus,Agricultural,47.2,27.8,25.6,10.9,10.6,350,15,1.0,N2,258.9,0.1313,0.0324,0.0989,2.0,45.3,4.6,0.75,38.8,1.219,0.642,7.6,None,0.0,0.0,130.9,119.8,45.3,97.9,1.13,5.5,0.5,100,12,35
DP-0821,Zhu_2019,10.1016/j.jhazmat.2019.06.004,Wheat straw,Agricultural,41.6,31.1,27.3,10.0,5.8,400,3,1.0,N2,235.7,0.2064,0.0389,0.1675,3.5,46.3,5.8,0.69,41.4,1.503,0.671,8.3,Fe-loading,10.8,0.0,185.2,180.2,75.7,140.8,0.78,7.0,10.0,200,24,30
DP-0822,Long_2024,10.1016/j.chemosphere.2024.141584,Eucalyptus,Woody,30.4,19.5,22.1,8.4,7.3,400,10,1.0,N2,238.7,0.1094,0.0489,0.0605,1.8,46.5,4.8,1.67,39.7,1.239,0.64,9.1,None,0.0,0.0,133.8,114.2,39.3,68.8,1.61,5.5,4.0,200,4,25
DP-0823,Ma_2023,10.1016/j.seppur.2022.122521,Rice husk,Agricultural,24.0,17.3,29.7,8.9,16.2,400,20,1.0,N2,231.2,0.156,0.0493,0.1067,2.7,49.0,5.7,0.36,28.7,1.396,0.439,8.8,None,0.0,0.0,122.1,123.3,39.8,57.8,1.71,5.0,4.0,200,6,50
DP-0824,Jaffari_2023,10.1016/j.jhazmat.2023.132773,Rice husk,Agricultural,21.6,25.5,33.8,14.3,10.5,650,15,0.5,N2,329.3,0.2407,0.1229,0.1178,2.9,66.7,3.3,1.45,18.0,0.594,0.202,9.9,None,0.0,0.0,102.1,49.6,26.6,61.2,3.03,6.5,1.0,200,6,30
DP-0825,Zhu_2019,10.1016/j.jhazmat.2019.06.004,Corncob,Agricultural,51.9,24.2,17.0,16.3,1.9,500,15,1.0,N2,452.7,0.2941,0.0734,0.2207,2.6,59.4,5.0,2.15,31.6,1.01,0.399,8.9,None,0.0,0.0,132.9,100.3,25.0,60.3,2.98,7.0,1.0,100,12,40
DP-0826,Zhang_W_2023,10.1016/j.scitotenv.2023.166678,Sugarcane bagasse,Agricultural,34.3,27.3,16.6,10.6,3.7,550,10,1.0,N2,381.1,0.258,0.1058,0.1522,2.7,59.0,3.3,0.61,33.4,0.671,0.425,9.8,None,0.0,0.0,156.6,110.0,49.8,98.2,2.26,8.0,2.0,50,24,25
DP-0827,Zhu_2019,10.1016/j.jhazmat.2019.06.004,Corn stover,Agricultural,49.4,29.8,10.8,7.7,12.2,750,15,1.0,CO2,469.9,0.2764,0.0944,0.182,2.4,73.8,2.4,1.36,10.2,0.39,0.104,11.2,ZnO,0.0,0.94,46.8,72.9,36.1,57.5,2.82,6.0,1.0,50,6,20
DP-0828,Palansooriya_2022,10.1021/acs.est.1c08302,Rice husk,Agricultural,38.5,17.5,36.1,9.8,11.5,750,10,2.0,N2,433.4,0.2606,0.0765,0.1841,2.4,65.7,1.1,2.49,19.2,0.201,0.219,9.1,None,0.0,0.0,114.2,92.2,37.2,59.2,2.62,5.0,1.0,100,6,25
DP-0829,Ma_2023,10.1016/j.seppur.2022.122521,Sugarcane bagasse,Agricultural,33.1,26.0,12.4,14.1,0.9,300,15,1.0,N2,160.9,0.1332,0.0358,0.0974,3.3,52.3,5.6,1.24,40.0,1.285,0.574,8.2,MnO2,0.0,1.46,161.3,128.1,28.0,78.8,1.27,7.0,1.0,50,4,25
DP-0830,Shen_2024,10.1016/j.jhazmat.2024.133442,Rice husk,Agricultural,40.6,25.3,22.6,9.2,2.0,500,10,1.5,N2,248.3,0.1486,0.0648,0.0838,2.4,62.7,4.6,0.74,30.0,0.88,0.359,8.8,None,0.0,0.0,105.7,107.2,43.0,69.2,2.29,6.5,2.0,10,24,40
DP-0831,Zhu_2019,10.1016/j.jhazmat.2019.06.004,Rice husk,Agricultural,28.0,18.6,12.2,5.7,5.5,800,10,4.0,N2,477.9,0.3295,0.2262,0.1033,2.8,77.9,0.7,3.05,12.8,0.108,0.123,10.8,None,0.0,0.0,110.7,63.7,26.3,60.4,4.4,6.0,2.0,200,24,30
DP-0832,Ke_2021,10.1016/J.CHEMOSPHERE.2021.130204,Corn stover,Agricultural,37.6,23.9,8.6,8.2,2.3,500,10,0.5,N2,309.7,0.1736,0.0575,0.1161,2.2,52.8,5.4,3.14,36.4,1.227,0.517,8.1,Base-treatment,0.0,0.98,123.1,131.8,36.8,81.8,2.31,5.5,5.0,10,6,25
DP-0833,Jaffari_2023,10.1016/j.jhazmat.2023.132773,Wheat straw,Agricultural,41.5,26.4,12.3,7.2,6.5,550,3,1.5,N2,363.2,0.2265,0.1608,0.0657,2.5,47.8,4.7,1.35,39.6,1.18,0.621,8.9,None,0.0,0.0,134.4,118.0,57.2,105.7,2.17,5.5,4.0,50,6,25
DP-0834,Ke_2021,10.1016/J.CHEMOSPHERE.2021.130204,Wheat straw,Agricultural,36.8,8.5,15.6,8.9,5.3,550,5,2.0,N2,385.3,0.1957,0.0737,0.122,2.0,61.6,2.8,1.07,29.2,0.545,0.356,9.8,None,0.0,0.0,107.5,89.2,30.4,67.9,2.34,6.5,4.0,10,12,30
DP-0835,Sun_2022,10.1016/j.scitotenv.2022.154668,Rice husk,Agricultural,52.4,28.9,27.9,9.2,6.9,550,10,1.0,N2,259.1,0.1735,0.1014,0.0721,2.7,65.5,2.4,3.67,21.5,0.44,0.246,7.7,None,0.0,0.0,102.6,89.8,37.1,44.4,2.85,7.0,1.0,10,6,30
DP-0836,Ke_2021,10.1016/J.CHEMOSPHERE.2021.130204,Corncob,Agricultural,32.0,17.7,32.9,9.3,5.6,500,15,1.0,Ar,234.7,0.1128,0.0265,0.0863,1.9,58.0,5.1,1.82,29.5,1.055,0.381,7.6,Acid-treatment,0.0,1.03,78.9,92.5,21.1,70.6,1.61,5.0,1.0,50,48,25
DP-0837,Yuan_2021,10.1021/acs.est.1c01849,Neem leaves,Agricultural,24.9,27.5,13.0,9.9,2.2,400,1,3.0,N2,211.8,0.1612,0.0312,0.13,3.0,53.1,4.6,0.72,39.4,1.04,0.556,6.5,Acid-treatment,0.0,0.7,144.1,123.7,37.3,72.8,0.51,5.5,1.0,50,12,35
DP-0838,Long_2024,10.1016/j.chemosphere.2024.141584,Pine wood,Woody,48.9,19.9,6.8,7.8,13.3,500,5,3.0,N2,372.3,0.2365,0.0466,0.1899,2.5,46.9,4.6,0.67,34.5,1.177,0.552,7.6,None,0.0,0.0,108.7,135.0,58.1,53.6,2.31,6.0,2.0,100,4,30
DP-0839,Yuan_2021,10.1021/acs.est.1c01849,Sawdust,Woody,29.4,11.5,14.9,7.5,6.1,800,15,1.0,N2,417.0,0.2862,0.1804,0.1058,2.7,77.4,0.9,1.2,14.4,0.14,0.14,12.0,None,0.0,0.0,92.5,98.1,22.1,42.3,3.43,6.0,2.0,50,48,25
DP-0840,Zhu_2019,10.1016/j.jhazmat.2019.06.004,Rice husk,Agricultural,48.0,21.5,19.8,12.3,13.5,450,3,1.5,N2,311.4,0.2077,0.0839,0.1238,2.7,55.0,3.0,4.03,24.5,0.655,0.334,8.6,None,0.0,0.0,79.0,73.6,25.2,45.0,1.89,3.0,5.0,500,48,40
DP-0841,Sun_2022,10.1016/j.scitotenv.2022.154668,Miscanthus,Agricultural,29.0,27.6,33.5,6.9,0.5,350,3,1.5,N2,207.7,0.147,0.0442,0.1028,2.8,45.6,5.5,0.68,45.0,1.447,0.74,6.9,None,0.0,0.0,147.7,120.4,48.6,87.9,1.62,6.0,5.0,200,4,35
DP-0842,Palansooriya_2022,10.1021/acs.est.1c08302,Coconut shell,Woody,63.2,23.7,14.3,9.9,11.1,800,15,1.5,N2,767.4,0.4256,0.2626,0.163,2.2,65.5,1.7,6.97,14.7,0.311,0.168,10.7,MnO2,0.0,1.26,105.8,87.3,37.4,67.8,6.1,7.0,2.0,50,12,25
DP-0843,Zhang_W_2023,10.1016/j.scitotenv.2023.166678,Poultry litter,Waste,38.8,32.8,11.0,10.3,4.6,750,15,1.0,N2,469.9,0.2626,0.0779,0.1847,2.2,72.7,1.5,1.04,20.2,0.248,0.208,8.5,None,0.0,0.0,137.0,93.8,31.2,66.1,3.54,5.5,0.5,20,12,25
DP-0844,Ma_2023,10.1016/j.seppur.2022.122521,Coffee grounds,Agricultural,47.4,23.7,21.5,9.6,12.0,500,10,4.0,Ar,356.7,0.2671,0.0599,0.2072,3.0,65.1,4.4,2.89,15.6,0.811,0.18,8.9,Fe-loading,1.6,0.0,117.1,56.3,31.7,48.4,2.72,5.5,1.0,50,2,30
DP-0845,Shen_2024,10.1016/j.jhazmat.2024.133442,Switchgrass,Agricultural,31.4,28.7,21.4,8.2,12.5,350,15,2.0,N2,230.2,0.1405,0.0619,0.0786,2.4,40.8,5.3,0.53,40.9,1.559,0.752,7.0,None,0.0,0.0,159.2,173.8,47.6,82.2,0.82,6.0,2.0,100,12,25
DP-0846,Zhang_W_2023,10.1016/j.scitotenv.2023.166678,Coconut shell,Woody,46.5,15.9,19.2,2.0,17.0,350,10,1.5,N2,323.6,0.2209,0.0909,0.13,2.7,49.4,5.6,1.43,26.6,1.36,0.404,7.7,Acid-treatment,0.0,1.48,125.6,89.8,38.1,70.0,2.69,4.0,2.0,20,12,30
DP-0847,Long_2024,10.1016/j.chemosphere.2024.141584,Rice husk,Agricultural,36.1,16.9,30.1,6.2,0.5,600,5,1.5,N2,222.9,0.1502,0.064,0.0862,2.7,59.2,4.1,0.57,35.6,0.831,0.451,8.7,None,0.0,0.0,140.8,112.9,18.5,86.1,2.02,5.0,0.5,100,6,25
DP-0848,Zhang_W_2023,10.1016/j.scitotenv.2023.166678,Coconut shell,Woody,24.5,20.9,10.0,10.0,0.5,500,15,1.0,CO2,322.7,0.1925,0.0393,0.1532,2.4,64.1,3.3,0.57,31.5,0.618,0.369,8.0,None,0.0,0.0,126.7,100.7,32.7,67.5,1.58,7.0,4.0,20,24,35
DP-0849,Long_2024,10.1016/j.chemosphere.2024.141584,Hickory wood,Woody,38.3,40.0,10.4,6.2,12.8,550,20,1.5,N2,344.0,0.2623,0.1502,0.1121,3.0,66.8,3.3,1.03,16.1,0.593,0.181,6.8,N-doping,0.0,1.52,65.4,66.1,35.6,57.5,2.92,9.0,10.0,100,2,20
DP-0850,Ma_2023,10.1016/j.seppur.2022.122521,Walnut shell,Woody,46.7,14.5,17.4,2.3,11.7,400,10,1.5,N2,306.3,0.2264,0.0409,0.1855,3.0,53.7,5.3,0.81,28.5,1.184,0.398,7.0,None,0.0,0.0,105.2,88.3,34.6,74.1,1.43,6.0,0.5,50,12,25
DP-0851,Ke_2021,10.1016/J.CHEMOSPHERE.2021.130204,Sewage sludge,Waste,46.5,23.6,9.6,6.3,12.2,450,5,1.5,N2,369.1,0.263,0.0742,0.1888,2.9,63.1,3.0,0.56,21.1,0.571,0.251,7.8,Acid-treatment,0.0,1.14,96.1,75.2,42.4,72.6,2.96,4.0,4.0,100,6,30
DP-0852,Shen_2024,10.1016/j.jhazmat.2024.133442,Peanut shell,Agricultural,26.3,31.2,34.1,7.2,3.2,500,3,2.0,N2,282.4,0.2103,0.0656,0.1447,3.0,55.3,4.4,0.35,36.8,0.955,0.499,9.7,None,0.0,0.0,154.4,124.3,51.5,76.0,1.59,4.0,5.0,100,24,25
